nlm,dmmhc,gbc,unsharp,combined
0.999112,0.999005,0.999035,0.999016,0.995265
0.999112,0.999005,0.999035,0.996943,0.993383
0.999112,0.999005,0.999035,0.995042,0.990168
0.999112,0.999005,0.999035,0.99244,0.990168
0.999112,0.999005,0.999035,0.990594,0.981674
0.999112,0.999005,0.997121,0.999016,0.992856
0.999112,0.999005,0.997121,0.996943,0.99096
0.999112,0.999005,0.997121,0.995042,0.987643
0.999112,0.999005,0.997121,0.99244,0.987643
0.999112,0.999005,0.997121,0.990594,0.978915
0.999112,0.999005,0.994572,0.999016,0.990541
0.999112,0.999005,0.994572,0.996943,0.988827
0.999112,0.999005,0.994572,0.995042,0.98588
0.999112,0.999005,0.994572,0.99244,0.98588
0.999112,0.999005,0.994572,0.990594,0.977602
0.999112,0.999005,0.993116,0.999016,0.988076
0.999112,0.999005,0.993116,0.996943,0.986323
0.999112,0.999005,0.993116,0.995042,0.983248
0.999112,0.999005,0.993116,0.99244,0.983248
0.999112,0.999005,0.993116,0.990594,0.974372
0.999112,0.999005,0.991963,0.999016,0.988076
0.999112,0.999005,0.991963,0.996943,0.986323
0.999112,0.999005,0.991963,0.995042,0.983248
0.999112,0.999005,0.991963,0.99244,0.983248
0.999112,0.999005,0.991963,0.990594,0.974372
0.999112,0.997199,0.999035,0.999016,0.992659
0.999112,0.997199,0.999035,0.996943,0.990263
0.999112,0.997199,0.999035,0.995042,0.986558
0.999112,0.997199,0.999035,0.99244,0.986558
0.999112,0.997199,0.999035,0.990594,0.977707
0.999112,0.997199,0.997121,0.999016,0.99032
0.999112,0.997199,0.997121,0.996943,0.987911
0.999112,0.997199,0.997121,0.995042,0.984218
0.999112,0.997199,0.997121,0.99244,0.984218
0.999112,0.997199,0.997121,0.990594,0.975089
0.999112,0.997199,0.994572,0.999016,0.988087
0.999112,0.997199,0.994572,0.996943,0.985887
0.999112,0.997199,0.994572,0.995042,0.982556
0.999112,0.997199,0.994572,0.99244,0.982556
0.999112,0.997199,0.994572,0.990594,0.973907
0.999112,0.997199,0.993116,0.999016,0.985758
0.999112,0.997199,0.993116,0.996943,0.98351
0.999112,0.997199,0.993116,0.995042,0.980068
0.999112,0.997199,0.993116,0.99244,0.980068
0.999112,0.997199,0.993116,0.990594,0.970874
