nlm,unsharp,combined
0.990571,0.991816,0.982538
0.990571,0.989259,0.978007
0.990571,0.987116,0.974379
0.990571,0.98269,0.973967
0.990571,0.980983,0.973967
0.990571,0.980383,0.969258
0.990571,0.977997,0.96517
0.990571,0.975763,0.964503
0.990571,0.960799,0.947059
0.990571,0.960482,0.947919
0.990571,0.959499,0.947671
0.990571,0.95531,0.943052
0.990571,0.954313,0.942188
0.990571,0.947242,0.93548
0.990571,0.946154,0.933132
0.990571,0.938844,0.926477
0.990571,0.937941,0.925635
0.990571,0.935652,0.922119
0.990571,0.928572,0.915769
0.990571,0.927671,0.914923
0.990571,0.924443,0.912518
0.990571,0.924094,0.912518
0.990571,0.91852,0.905757
0.990571,0.918375,0.906586
0.990571,0.917524,0.905774
0.990571,0.907334,0.895289
0.990571,0.902727,0.8916
0.990571,0.902622,0.8916
0.988652,0.991816,0.97945
0.988652,0.989259,0.974705
0.988652,0.987116,0.970743
0.988652,0.98269,0.970465
0.988652,0.980983,0.970465
0.988652,0.980383,0.965634
0.988652,0.977997,0.961364
0.988652,0.975763,0.960785
0.988652,0.960799,0.943038
0.988652,0.960482,0.944172
0.988652,0.959499,0.943923
0.988652,0.95531,0.938704
0.988652,0.954313,0.937782
0.988652,0.947242,0.930769
0.988652,0.946154,0.929315
0.988652,0.938844,0.92239
0.988652,0.937941,0.921537
0.988652,0.935652,0.918332
0.988652,0.928572,0.911731
0.988652,0.927671,0.910875
0.988652,0.924443,0.908842
0.988652,0.924094,0.908842
0.988652,0.91852,0.901901
0.988652,0.918375,0.903341
0.988652,0.917524,0.902574
0.988652,0.907334,0.892206
0.988652,0.902727,0.887823
0.988652,0.902622,0.887823
0.987593,0.991816,0.97794
0.987593,0.989259,0.973394
0.987593,0.987116,0.969294
0.987593,0.98269,0.968914
0.987593,0.980983,0.968914
0.987593,0.980383,0.963987
0.987593,0.977997,0.959836
0.987593,0.975763,0.959134
0.987593,0.960799,0.941599
0.987593,0.960482,0.943038
0.987593,0.959499,0.942792
0.987593,0.95531,0.936145
0.987593,0.954313,0.935119
0.987593,0.947242,0.930046
0.987593,0.946154,0.92767
0.987593,0.938844,0.920247
0.987593,0.937941,0.919318
0.987593,0.935652,0.915462
0.987593,0.928572,0.909618
0.987593,0.927671,0.908689
0.987593,0.924443,0.907531
0.987593,0.924094,0.907247
0.987593,0.91852,0.901559
0.987593,0.918375,0.900627
0.987593,0.917524,0.899715
0.987593,0.907334,0.88947
0.987593,0.902727,0.886435
0.987593,0.902622,0.88633
0.985848,0.991816,0.976356
0.985848,0.989259,0.971774
0.985848,0.987116,0.967902
0.985848,0.98269,0.967345
0.985848,0.980983,0.967345
0.985848,0.980383,0.962384
0.985848,0.977997,0.958394
0.985848,0.975763,0.957606
0.985848,0.960799,0.940071
0.985848,0.960482,0.942185
0.985848,0.959499,0.942007
0.985848,0.95531,0.9346
0.985848,0.954313,0.933489
0.985848,0.947242,0.929023
0.985848,0.946154,0.92693
0.985848,0.938844,0.919231
0.985848,0.937941,0.918312
0.985848,0.935652,0.91465
0.985848,0.928572,0.908724
0.985848,0.927671,0.907802
0.985848,0.924443,0.906529
0.985848,0.924094,0.906243
0.985848,0.91852,0.900319
0.985848,0.918375,0.900824
0.985848,0.917524,0.900075
0.985848,0.907334,0.889823
0.985848,0.902727,0.885955
0.985848,0.902622,0.885858
0.98567,0.991816,0.976152
0.98567,0.989259,0.971601
0.98567,0.987116,0.967687
0.98567,0.98269,0.967136
0.98567,0.980983,0.967136
0.98567,0.980383,0.962116
0.98567,0.977997,0.958155
0.98567,0.975763,0.957368
0.98567,0.960799,0.93978
0.98567,0.960482,0.94199
0.98567,0.959499,0.941819
0.98567,0.95531,0.934307
0.98567,0.954313,0.933182
0.98567,0.947242,0.928645
0.98567,0.946154,0.92669
0.98567,0.938844,0.918798
0.98567,0.937941,0.917835
0.98567,0.935652,0.914119
0.98567,0.928572,0.908315
0.98567,0.927671,0.907349
0.98567,0.924443,0.906435
0.98567,0.924094,0.906154
0.98567,0.91852,0.900203
0.98567,0.918375,0.900723
0.98567,0.917524,0.89996
0.98567,0.907334,0.889665
0.98567,0.902727,0.88582
0.98567,0.902622,0.885722
0.983375,0.991816,0.972356
0.983375,0.989259,0.967232
0.983375,0.987116,0.962782
0.983375,0.98269,0.962577
0.983375,0.980983,0.962577
0.983375,0.980383,0.957832
0.983375,0.977997,0.95324
0.983375,0.975763,0.952905
0.983375,0.960799,0.935443
0.983375,0.960482,0.936007
0.983375,0.959499,0.935758
0.983375,0.95531,0.930631
0.983375,0.954313,0.929723
0.983375,0.947242,0.923413
0.983375,0.946154,0.92143
0.983375,0.938844,0.913676
0.983375,0.937941,0.912702
0.983375,0.935652,0.90973
0.983375,0.928572,0.903205
0.983375,0.927671,0.902227
0.983375,0.924443,0.901154
0.983375,0.924094,0.901154
0.983375,0.91852,0.894308
0.983375,0.918375,0.894988
0.983375,0.917524,0.894131
0.983375,0.907334,0.883972
0.983375,0.902727,0.880134
0.983375,0.902622,0.880134
0.98332,0.991816,0.972197
0.98332,0.989259,0.967139
0.98332,0.987116,0.962708
0.98332,0.98269,0.962452
0.98332,0.980983,0.962452
0.98332,0.980383,0.95766
0.98332,0.977997,0.953038
0.98332,0.975763,0.952685
0.98332,0.960799,0.935459
0.98332,0.960482,0.936137
0.98332,0.959499,0.935929
0.98332,0.95531,0.930968
0.98332,0.954313,0.93015
0.98332,0.947242,0.923527
0.98332,0.946154,0.920569
0.98332,0.938844,0.913539
0.98332,0.937941,0.912656
0.98332,0.935652,0.910082
0.98332,0.928572,0.903047
0.98332,0.927671,0.902162
0.98332,0.924443,0.900999
0.98332,0.924094,0.900999
0.98332,0.91852,0.894947
0.98332,0.918375,0.895032
0.98332,0.917524,0.89422
0.98332,0.907334,0.883965
0.98332,0.902727,0.879831
0.98332,0.902622,0.879831
0.983057,0.991816,0.971666
0.983057,0.989259,0.966534
0.983057,0.987116,0.962165
0.983057,0.98269,0.96183
0.983057,0.980983,0.96183
0.983057,0.980383,0.956874
0.983057,0.977997,0.952341
0.983057,0.975763,0.951928
