,combined
292,0.9648709999999999
458,0.970636
357,0.9706739999999999
160,0.9811559999999999
366,0.969448
332,0.9731190000000001
14,0.9776020000000001
255,0.980281
324,0.963001
54,0.97535
146,0.980015
433,0.972829
452,0.973231
380,0.972433
19,0.9743719999999999
264,0.9623290000000001
289,0.9583959999999999
400,0.985157
116,0.9830469999999999
214,0.970585
498,0.961506
148,0.976418
424,0.9638399999999999
108,0.9836809999999999
122,0.97985
444,0.9600110000000001
177,0.976891
202,0.983535
133,0.9795870000000001
352,0.9734940000000001
60,0.984452
256,0.977826
127,0.9828459999999999
456,0.974398
140,0.9824879999999999
279,0.9630850000000001
35,0.988087
126,0.986714
426,0.9793959999999999
407,0.977058
203,0.983535
107,0.9836809999999999
157,0.9779059999999999
450,0.9794120000000001
434,0.9632940000000001
67,0.9773799999999999
486,0.9679059999999999
45,0.985758
4,0.9816739999999999
394,0.950683
93,0.973625
99,0.9622729999999999
453,0.973231
441,0.973095
229,0.970141
447,0.969427
51,0.9881979999999999
103,0.986258
396,0.964592
478,0.9692930000000001
494,0.951714
110,0.9875719999999999
165,0.979345
392,0.9608690000000001
286,0.97146
188,0.971843
437,0.9717319999999999
389,0.953987
432,0.972829
468,0.966576
32,0.984218
353,0.9731350000000001
119,0.970693
334,0.9632059999999999
262,0.971986
271,0.972651
217,0.9769
267,0.969137
355,0.9773850000000001
493,0.961506
124,0.970693
120,0.985083
152,0.9808959999999999
244,0.963669
47,0.980068
309,0.967533
222,0.9769
260,0.977767
219,0.9675950000000001
276,0.976725
225,0.986245
193,0.9681420000000001
252,0.9770399999999999
226,0.983461
412,0.97549
235,0.981709
3,0.990168
362,0.9685309999999999
101,0.990168
427,0.97554
30,0.9903200000000001
173,0.9727549999999999
181,0.977427
257,0.9741489999999999
322,0.9726239999999999
379,0.9583229999999999
128,0.98239
10,0.990541
242,0.97325
320,0.978641
490,0.9671379999999999
137,0.9787680000000001
20,0.9880760000000001
191,0.972023
155,0.98395
331,0.977353
266,0.972651
499,0.951714
17,0.983248
220,0.9824459999999999
13,0.98588
95,0.977065
240,0.979584
168,0.9737399999999999
284,0.9601120000000001
167,0.9737399999999999
97,0.9719120000000001
227,0.979504
58,0.981651
313,0.975143
261,0.975441
23,0.983248
382,0.9658709999999999
186,0.97511
435,0.977792
314,0.9658370000000001
134,0.970483
467,0.966576
55,0.9872290000000001
423,0.9730190000000001
94,0.964083
402,0.979392
216,0.980226
135,0.9846879999999999
429,0.966318
236,0.9791639999999999
175,0.982906
56,0.9852190000000001
254,0.967316
364,0.958641
491,0.9649
471,0.969088
38,0.982556
6,0.9909600000000001
224,0.9675950000000001
316,0.9770469999999999
290,0.970619
154,0.971223
84,0.9684219999999999
228,0.979504
473,0.965622
461,0.971791
201,0.9871059999999999
2,0.990168
223,0.976548
277,0.9728959999999999
174,0.962814
455,0.976828
208,0.98061
179,0.9672219999999999
422,0.9730190000000001
79,0.9711420000000001
369,0.9553879999999999
65,0.9825229999999999
198,0.9681420000000001
335,0.9777959999999999
233,0.976775
207,0.98061
75,0.9861559999999999
349,0.958774
336,0.974915
185,0.977275
111,0.985608
200,0.989451
354,0.9634739999999999
163,0.9756530000000001
121,0.9830469999999999
161,0.9790110000000001
166,0.977165
347,0.9686600000000001
71,0.979605
365,0.972023
34,0.975089
390,0.9670989999999999
73,0.9763809999999999
178,0.9764360000000001
0,0.995265
59,0.9721299999999999
263,0.971986
477,0.9692930000000001
74,0.9667479999999999
205,0.986624
463,0.968419
89,0.966001
403,0.979392
112,0.982441
350,0.980291
196,0.972023
371,0.969448
197,0.9685889999999999
83,0.977978
310,0.9810780000000001
218,0.976548
274,0.9590709999999999
61,0.9825440000000001
344,0.9598040000000001
373,0.96536
18,0.983248
195,0.974092
192,0.9685889999999999
443,0.969427
115,0.985083
299,0.954924
388,0.9639120000000001
199,0.9588059999999999
302,0.979974
53,0.9847049999999999
399,0.950683
